accuracy,attack,attack_interval_count,attack_interval_detection_rate,benign_false_positive_count,continuous_alert_segments,detected_attack_intervals,detection_delay_rows,f1,first_attack_evaluation_index,first_attack_raw_index,first_detection_evaluation_index,first_detection_raw_index,fn,fnr,fp,fpr,k,pr_auc,precision,recall,rho,roc_auc,specificity,threshold_method,threshold_value,tn,tp
0.0443901482798695,ssl_renegotiation,29299,1.0,2047461,83,29299,0,0.08299306017426822,1255010,1320011,1255010,1320011,0,0.0,2047461,0.998801415471253,0.5,0.19298864401720947,0.043293041068392185,1.0,0.95,0.8464968991901387,0.0011985845287470036,q99,35.03583270890176,2457,92652
0.04541368543384813,ssl_renegotiation,29299,1.0,2045268,109,29299,0,0.08307465529021255,1255010,1320011,1255010,1320011,0,0.0,2045268,0.9977316165817365,0.5,0.19298864401720947,0.043337449483610235,1.0,0.95,0.8464968991901387,0.0022683834182635598,q99_5,47.102187725866926,4650,92652
0.046180521523217444,ssl_renegotiation,29299,1.0,2043625,110,29299,0,0.08313589172198846,1255010,1320011,1255010,1320011,0,0.0,2043625,0.9969301211072833,0.5,0.19298864401720947,0.04337078010014619,1.0,0.95,0.8464968991901387,0.0030698788927166843,q99_9,57.24429377015404,6293,92652
0.044757930896073404,ssl_renegotiation,29299,1.0,2046673,89,29299,0,0.08302236089350383,1255010,1320011,1255010,1320011,0,0.0,2046673,0.9984170098511258,1.0,0.19298864401720947,0.04330898764797308,1.0,0.95,0.8464968991901387,0.0015829901488742476,q99,29.305885916560765,3245,92652
0.045647516767246814,ssl_renegotiation,29299,1.0,2044767,106,29299,0,0.08309331855353484,1255010,1320011,1255010,1320011,0,0.0,2044767,0.9974872165618333,1.0,0.19298864401720947,0.04334760755846186,1.0,0.95,0.8464968991901387,0.002512783438166795,q99_5,39.815183572604106,5151,92652
0.046362545914485874,ssl_renegotiation,29299,1.0,2043235,96,29299,0,0.0831504407147463,1255010,1320011,1255010,1320011,0,0.0,2043235,0.9967398695947838,1.0,0.19298864401720947,0.0433786993413041,1.0,0.95,0.8464968991901387,0.0032601304052162087,q99_9,49.85584579639574,6683,92652
0.04335214252043107,ssl_renegotiation,29299,1.0,2049685,3,29299,0,0.08291047517459818,1255010,1320011,1255010,1320011,0,0.0,2049685,0.9998863369168913,0.25,0.16159686832031248,0.04324809775492838,1.0,0.99,0.8223578672635588,0.0001136630831086902,q99,120.24454456186274,233,92652
0.04342075171406302,ssl_renegotiation,29299,1.0,2049538,8,29299,0,0.08291592873232202,1255010,1320011,1255010,1320011,0,0.0,2049538,0.9998146267314107,0.25,0.16159686832031248,0.04325106549839183,1.0,0.99,0.8223578672635588,0.00018537326858928015,q99_5,139.98112506517674,380,92652
0.04358784077066327,ssl_renegotiation,29299,1.0,2049180,11,29299,0,0.08292921318747415,1255010,1320011,1255010,1320011,0,0.0,2049180,0.999639985599424,0.25,0.16159686832031248,0.04325829476821712,1.0,0.99,0.8223578672635588,0.00036001440057602306,q99_9,154.64615370060437,738,92652
0.0433563430833065,ssl_renegotiation,29299,1.0,2049676,4,29299,0,0.08291080904527111,1255010,1320011,1255010,1320011,0,0.0,2049676,0.999881946497372,0.5,0.16159686832031248,0.0432482794418035,1.0,0.99,0.8223578672635588,0.00011805350262791,q99,97.35469452142857,242,92652
0.043522031952281603,ssl_renegotiation,29299,1.0,2049321,9,29299,0,0.08292398053364658,1255010,1320011,1255010,1320011,0,0.0,2049321,0.9997087688385584,0.5,0.16159686832031248,0.043255447197513695,1.0,0.99,0.8223578672635588,0.0002912311614415796,q99_5,125.60023127558821,597,92652
0.04365178267221141,ssl_renegotiation,29299,1.0,2049043,12,29299,0,0.08293429802980469,1255010,1320011,1255010,1320011,0,0.0,2049043,0.9995731536578536,0.5,0.16159686832031248,0.0432610619159124,1.0,0.99,0.8223578672635588,0.0004268463421463688,q99_9,134.27861573454777,875,92652
0.04341141712989541,ssl_renegotiation,29299,1.0,2049558,6,29299,0,0.08291518670951495,1255010,1320011,1255010,1320011,0,0.0,2049558,0.9998243832192312,1.0,0.16159686832031248,0.04325066169983335,1.0,0.99,0.8223578672635588,0.00017561678076879174,q99,64.22452588187085,360,92652
0.043690521196507,ssl_renegotiation,29299,1.0,2048960,9,29299,0,0.08293737893104844,1255010,1320011,1255010,1320011,0,0.0,2048960,0.9995326642333986,1.0,0.16159686832031248,0.043262738535271565,1.0,0.99,0.8223578672635588,0.00046733576660139574,q99_5,88.56967496189493,958,92652
0.04383707416793851,ssl_renegotiation,29299,1.0,2048646,11,29299,0,0.0829490364600819,1255010,1320011,1255010,1320011,0,0.0,2048646,0.9993794873746169,1.0,0.16159686832031248,0.04326908258448847,1.0,0.99,0.8223578672635588,0.0006205126253830641,q99_9,111.27639070771362,1272,92652
0.47677006115774173,arp_mitm,49867,1.0,1276297,327,49867,0,0.6421772094691073,1234999,1300000,1234999,1300000,0,0.0,1276297,0.9863237387499478,0.25,0.7462408396534739,0.4729462592228427,1.0,0.9,0.7559948062607619,0.013676261250052163,q99,46.075792266206214,17697,1145272
0.47836849281710153,arp_mitm,49867,1.0,1272398,309,49867,0,0.6428799570691861,1234999,1300000,1234999,1300000,0,0.0,1272398,0.9833105872206517,0.25,0.7462408396534739,0.4737089842699789,1.0,0.9,0.7559948062607619,0.01668941277934828,q99_5,52.52140622671583,21596,1145272
