accuracy,alpha,attack,attack_interval_count,attack_interval_detection_rate,benign_false_positive_count,continuous_alert_segments,detected_attack_intervals,detection_delay_rows,f1,first_attack_evaluation_index,first_attack_raw_index,first_detection_evaluation_index,first_detection_raw_index,fn,fnr,fp,fpr,pr_auc,precision,recall,roc_auc,series,specificity,threshold_method,threshold_value,tn,tp
0.13093364362923723,,os_scan,34069,1.0,1419055,93136,34069,0,0.08474931552350762,1249657,1314658,1249657,1314658,0,0.0,1419055,0.9055004307181826,0.4995091973373824,0.044249724702055224,1.0,0.9786187801383145,baseline,0.09449956928181731,q99_9,0.09501450558488406,148095,65700
0.04950056649416664,,os_scan,34069,1.0,1552023,2792,34069,0,0.07805524814618786,1249657,1314658,1249657,1314658,0,0.0,1552023,0.9903474460007019,0.4995091973373824,0.04061263887575314,1.0,0.9786187801383145,baseline,0.009652553999298088,mean_plus_3std,0.04963250537759042,15127,65700
0.05211133906972471,,os_scan,34069,1.0,1547760,3871,34069,0,0.07825341242049597,1249657,1314658,1249657,1314658,0,0.0,1547760,0.9876272213891459,0.4995091973373824,0.040719943475512256,1.0,0.9786187801383145,baseline,0.012372778610854097,mean_plus_4std,0.05947521399761912,19390,65700
0.05640995804881036,,os_scan,34069,1.0,1540741,4580,34069,0,0.07858188992435447,1249657,1314658,1249657,1314658,0,0.0,1540741,0.9831483903901987,0.4995091973373824,0.040897860550122914,1.0,0.9786187801383145,baseline,0.01685160960980123,mean_plus_5std,0.06931792261764783,26409,65700
0.04293719570076859,,os_scan,34069,1.0,1562740,1203,34069,0,0.07756147661940571,1249657,1314658,1249657,1314658,0,0.0,1562740,0.9971859745397696,0.4995091973373824,0.04034536120458844,1.0,0.9786187801383145,baseline,0.0028140254602303546,median_plus_3mad,0.03055333642972197,4410,65700
0.04509477294301375,,os_scan,34069,1.0,1559217,1057,34069,0,0.0777231034586781,1249657,1314658,1249657,1314658,0,0.0,1559217,0.9949379446766423,0.4995091973373824,0.040432834415542455,1.0,0.9786187801383145,baseline,0.005062055323357687,median_plus_5mad,0.03850486082359755,7933,65700
0.048167314817650124,,os_scan,34069,1.0,1554200,1881,34069,0,0.0779544375889891,1249657,1314658,1249657,1314658,0,0.0,1554200,0.9917365919024982,0.4995091973373824,0.040558059139453054,1.0,0.9786187801383145,baseline,0.008263408097501835,median_plus_7mad,0.04645638521747314,12950,65700
0.04258505067826193,0.05,os_scan,34069,1.0,1563315,107,34069,0,0.07753516077924606,1249657,1314658,1249657,1314658,0,0.0,1563315,0.9975528826213189,0.46481754131883257,0.040331120339591714,1.0,0.9757822022264481,ewma,0.0024471173786810452,q99,0.03130809674213466,3835,65700
0.043599228343081116,0.05,os_scan,34069,1.0,1561659,126,34069,0,0.07761099878976456,1249657,1314658,1249657,1314658,0,0.0,1561659,0.996496187346457,0.46481754131883257,0.040372161274801685,1.0,0.9757822022264481,ewma,0.003503812653543056,q99_5,0.03441760072383213,5491,65700
0.04490859540067979,0.05,os_scan,34069,1.0,1559521,67,34069,0,0.07770913011311587,1249657,1314658,1249657,1314658,0,0.0,1559521,0.9951319273841049,0.46481754131883257,0.040425271393859666,1.0,0.9757822022264481,ewma,0.004868072615895096,q99_9,0.03913437465678943,7629,65700
0.04285941758275408,0.05,os_scan,34069,1.0,1562867,86,34069,0,0.07755566271431834,1249657,1314658,1249657,1314658,0,0.0,1562867,0.9972670133682162,0.46481754131883257,0.04034221496567227,1.0,0.9757822022264481,ewma,0.002732986631783811,mean_plus_3std,0.03218892707311387,4283,65700
0.04425207459350216,0.05,os_scan,34069,1.0,1560593,129,34069,0,0.07765989575606992,1249657,1314658,1249657,1314658,0,0.0,1560593,0.9958159716683151,0.46481754131883257,0.04039862435612771,1.0,0.9757822022264481,ewma,0.0041840283316849055,mean_plus_4std,0.036228967923737226,6557,65700
0.04506292678445663,0.05,os_scan,34069,1.0,1559269,60,34069,0,0.07772071292488357,1249657,1314658,1249657,1314658,0,0.0,1559269,0.9949711259292346,0.46481754131883257,0.040431540540158,1.0,0.9757822022264481,ewma,0.005028874070765402,mean_plus_5std,0.040269008774360585,7881,65700
0.04161435526839575,0.05,os_scan,34069,1.0,1564900,90,34069,0,0.07746271296350882,1249657,1314658,1249657,1314658,0,0.0,1564900,0.9985642727243723,0.46481754131883257,0.04029191708573531,1.0,0.9757822022264481,ewma,0.001435727275627732,median_plus_3mad,0.0284189851400019,2250,65700
0.04344857151606087,0.05,os_scan,34069,1.0,1561905,125,34069,0,0.07759972361742273,1249657,1314658,1249657,1314658,0,0.0,1561905,0.996653160195259,0.46481754131883257,0.04036605933257762,1.0,0.9757822022264481,ewma,0.0033468398047410905,median_plus_5mad,0.03401420461544071,5245,65700
0.04497657470067673,0.05,os_scan,34069,1.0,1559410,55,34069,0,0.07771423164045635,1249657,1314658,1249657,1314658,0,0.0,1559410,0.9950610981718406,0.46481754131883257,0.040428032563949515,1.0,0.9757822022264481,ewma,0.004938901828159398,median_plus_7mad,0.03960942409087953,7740,65700
0.04408671953945555,0.1,os_scan,34069,1.0,1560863,227,34069,0,0.07764750514547679,1249657,1314658,1249657,1314658,0,0.0,1560863,0.9959882589413904,0.4720729971514632,0.04039191841939107,1.0,0.9764786246407707,ewma,0.004011741058609578,q99,0.03587473621543472,6287,65700
0.045470190158312156,0.1,os_scan,34069,1.0,1558604,163,34069,0,0.07775129526320647,1249657,1314658,1249657,1314658,0,0.0,1558604,0.9945467887566601,0.4720729971514632,0.040448093460337474,1.0,0.9764786246407707,ewma,0.005453211243339821,q99_5,0.04260651379530447,8546,65700
0.04715374957895704,0.1,os_scan,34069,1.0,1555855,298,34069,0,0.07787797339465581,1249657,1314658,1249657,1314658,0,0.0,1555855,0.9927926490763488,0.4720729971514632,0.04051666455963566,1.0,0.9764786246407707,ewma,0.007207350923651214,q99_9,0.05007996890439354,11295,65700
