accuracy,alpha,attack,attack_interval_count,attack_interval_detection_rate,benign_false_positive_count,continuous_alert_segments,detected_attack_intervals,detection_delay_rows,f1,first_attack_evaluation_index,first_attack_raw_index,first_detection_evaluation_index,first_detection_raw_index,fn,fnr,fp,fpr,pr_auc,precision,recall,roc_auc,specificity,threshold_method,threshold_value,tn,tp
0.20201611829998833,0.05,fuzzing,42362,1.0,1738917,74,42362,0,0.3323369743630502,1235004,1300005,1235004,1300005,0,0.0,1738917,0.9957408430702807,0.295796471463988,0.19928305014504766,1.0,0.7234596617717796,0.004259156929719329,q99_5,0.05325905991743926,7438,432783
0.20369751709162062,0.1,fuzzing,42362,1.0,1735253,139,42362,0,0.33280516637259266,1235004,1300005,1235004,1300005,0,0.0,1735253,0.993642758774705,0.2837204931584512,0.19961984026095508,1.0,0.7153361391995622,0.0063572412252949715,q99_5,0.061420739991189244,11102,432783
0.20502831853696277,0.2,fuzzing,42362,1.0,1732353,318,42362,0,0.33317666948045727,1235004,1300005,1235004,1300005,0,0.0,1732353,0.9919821571215475,0.2603874918740519,0.1998872126277518,1.0,0.6869072104404262,0.008017842878452548,q99_5,0.06739500488538017,14002,432783
0.2053454163985943,0.3,fuzzing,42362,1.0,1731662,537,42362,0,0.33326531209427895,1235004,1300005,1235004,1300005,0,0.0,1731662,0.9915864758310882,0.24775363744691323,0.19995102670661533,1.0,0.6650446849655656,0.008413524168911819,q99_5,0.06823020370751023,14693,432783
0.20572125308264094,0.5,fuzzing,42362,1.0,1730843,1287,42362,0,0.3333704358596816,1235004,1300005,1235004,1300005,0,0.0,1730843,0.9911174990193861,0.2322630316597484,0.2000267144136741,1.0,0.6329773603733166,0.008882500980613908,q99_5,0.06846679868943273,15512,432783
0.045240062168330555,0.05,ssl_renegotiation,29299,1.0,2045640,108,29299,0,0.08306080296054047,1255010,1320011,1255010,1320011,0,0.0,2045640,0.9979130872551976,0.19298864401720947,0.04332991004034996,1.0,0.8464968991901387,0.002086912744802475,q99_5,0.05123101837643649,4278,92652
0.04619032283659344,0.1,ssl_renegotiation,29299,1.0,2043604,146,29299,0,0.08313667499959622,1255010,1320011,1255010,1320011,0,0.0,2043604,0.9969198767950718,0.23173674359750018,0.04337120644716738,1.0,0.8673542278503529,0.003080123204928197,q99_5,0.057030057738272,6314,92652
0.04678633603569545,0.2,ssl_renegotiation,29299,1.0,2042327,224,29299,0,0.08318433349149837,1255010,1320011,1255010,1320011,0,0.0,2042327,0.9962969250477336,0.2999299893727305,0.04339714816867051,1.0,0.8903181923674272,0.003703074952266383,q99_5,0.06283258922859809,7591,92652
0.04737021427537957,0.3,ssl_renegotiation,29299,1.0,2041076,407,29299,0,0.08323107465931243,1255010,1320011,1255010,1320011,0,0.0,2041076,0.995686656734562,0.3508454438010099,0.0434225918205132,1.0,0.9012037685900902,0.0043133432654379345,q99_5,0.06707802736770344,8842,92652
0.048254199396052404,0.5,ssl_renegotiation,29299,0.999931738284583,2039173,928,29297,0,0.08329452255550542,1255010,1320011,1255010,1320011,9,9.713767646677892e-05,2039173,0.9947583269184426,0.4214384668397521,0.04345731526548258,0.9999028623235332,0.9130019316567091,0.005241673081557409,q99_5,0.07071567824797974,10745,92643
0.4769512632078666,0.05,arp_mitm,49867,1.0,1275855,182,49867,0,0.6422567974026462,1234999,1300000,1234999,1300000,0,0.0,1275855,0.9859821606591684,0.7290354563689152,0.4730326001073054,1.0,0.7637635422882538,0.014017839340831565,q99_5,0.13893842645795815,18139,1145272
0.4783643932232073,0.1,arp_mitm,49867,1.0,1272408,313,49867,0,0.6428781527227985,1234999,1300000,1234999,1300000,0,0.0,1272408,0.9833183152317553,0.7462408396534739,0.47370702491644884,1.0,0.7559948062607619,0.016681684768244675,q99_5,0.15288524995004565,21586,1145272
0.4795249882546635,0.2,arp_mitm,49867,1.0,1269577,583,49867,0,0.6433893679456401,1234999,1300000,1234999,1300000,0,0.0,1269577,0.9811305152883244,0.7745400461853723,0.4742623658870596,1.0,0.7641802800151655,0.018869484711675634,q99_5,0.16501796791869938,24417,1145272
0.4807581460980475,0.3,arp_mitm,49867,1.0,1266567,980,49867,0,0.6439330366317141,1234999,1300000,1234999,1300000,2,1.7463100468709616e-06,1266567,0.9788043839461389,0.7908233740497879,0.4748538147478457,0.9999982536899531,0.7726751787336752,0.021195616053861145,q99_5,0.17509879964173738,27427,1145270
0.4823090224682343,0.5,arp_mitm,49867,0.9999799466581105,1262770,2397,49866,0,0.6446157907386321,1234999,1300000,1234999,1300000,16,1.3970480374967692e-05,1262770,0.9758700581300995,0.8107549987308477,0.4755995159520703,0.999986029519625,0.7860968369685184,0.02412994186990048,q99_5,0.18527005360077708,31224,1145256
0.007062105661841461,0.05,syn_dos,1113,1.0,2687163,122,1113,0,0.005210942089907631,2617348,2682349,2617348,2682349,0,0.0,2687163,0.995526884078723,0.010320174625160418,0.002612277257710171,1.0,0.7968328424838255,0.004473115921277013,q99_5,0.06561936925619752,12074,7038
0.008281124423792852,0.1,syn_dos,1113,1.0,2683864,267,1113,0,0.005217313950643824,2617348,2682349,2617348,2682349,0,0.0,2683864,0.9943046868429857,0.005520211028778554,0.002615479865115861,1.0,0.711960334202841,0.005695313157014371,q99_5,0.07315707251797088,15373,7038
0.010368125929552614,0.2,syn_dos,1113,1.0,2678216,713,1113,0,0.005228259044709861,2617348,2682349,2617348,2682349,0,0.0,2678216,0.9922122436821961,0.003846990860316357,0.002620981106442817,1.0,0.6550225324465654,0.007787756317803883,q99_5,0.08239619158283275,21021,7038
0.011758967584595062,0.3,syn_dos,1113,1.0,2674452,1094,1113,0,0.00523557872560747,2617348,2682349,2617348,2682349,0,0.0,2674452,0.990817775541755,0.003625741068853665,0.0026246601702784645,1.0,0.6561710149881311,0.009182224458245052,q99_5,0.08552934794602153,24785,7038
