accuracy,attack,attack_interval_count,attack_interval_detection_rate,benign_false_positive_count,continuous_alert_segments,detected_attack_intervals,detection_delay_rows,f1,first_attack_evaluation_index,first_attack_raw_index,first_detection_evaluation_index,first_detection_raw_index,fn,fnr,fp,fpr,k,pr_auc,precision,recall,roc_auc,specificity,threshold_method,threshold_value,tn,tp
0.00470942531708714,syn_dos,1113,1.0,2693530,2,1113,0,0.005198688435466607,2617348,2682349,2617348,2682349,0,0.0,2693530,0.9978856988104416,1.0,0.0475785005002259,0.0026061184165701435,1.0,0.976441031199883,0.0021143011895583827,q99,232.5654799072614,5707,7038
0.004750071592872121,syn_dos,1113,1.0,2693420,7,1113,0,0.00519889964749717,2617348,2682349,2617348,2682349,0,0.0,2693420,0.9978449465534149,1.0,0.0475785005002259,0.0026062245737574884,1.0,0.976441031199883,0.0021550534465850906,q99_5,247.19437460587193,5817,7038
0.004778893497519653,syn_dos,1113,1.0,2693342,6,1113,0,0.005199049426427688,2617348,2682349,2617348,2682349,0,0.0,2693342,0.9978160494984324,1.0,0.0475785005002259,0.0026062998540946087,1.0,0.976441031199883,0.002183950501567665,q99_9,252.96259205815826,5895,7038
0.41704883434341244,active_wiretap,47739,1.0,1290472,1,47739,0,0.5886160367037053,1234999,1300000,1234999,1300000,0,0.0,1290472,1.0,0.25,0.9407591181617555,0.41704883434341244,1.0,0.9776607280003408,0.0,q99,3108.155352150701,0,923216
0.41704883434341244,active_wiretap,47739,1.0,1290472,1,47739,0,0.5886160367037053,1234999,1300000,1234999,1300000,0,0.0,1290472,1.0,0.25,0.9407591181617555,0.41704883434341244,1.0,0.9776607280003408,0.0,q99_5,3126.589625136132,0,923216
0.41704883434341244,active_wiretap,47739,1.0,1290472,1,47739,0,0.5886160367037053,1234999,1300000,1234999,1300000,0,0.0,1290472,1.0,0.25,0.9407591181617555,0.41704883434341244,1.0,0.9776607280003408,0.0,q99_9,3142.1985355152688,0,923216
0.41704883434341244,active_wiretap,47739,1.0,1290472,1,47739,0,0.5886160367037053,1234999,1300000,1234999,1300000,0,0.0,1290472,1.0,0.5,0.9407591181617555,0.41704883434341244,1.0,0.9776607280003408,0.0,q99,2048.295027800711,0,923216
0.41704883434341244,active_wiretap,47739,1.0,1290472,1,47739,0,0.5886160367037053,1234999,1300000,1234999,1300000,0,0.0,1290472,1.0,0.5,0.9407591181617555,0.41704883434341244,1.0,0.9776607280003408,0.0,q99_5,2054.313082585361,0,923216
0.41704883434341244,active_wiretap,47739,1.0,1290472,1,47739,0,0.5886160367037053,1234999,1300000,1234999,1300000,0,0.0,1290472,1.0,0.5,0.9407591181617555,0.41704883434341244,1.0,0.9776607280003408,0.0,q99_9,2059.9229929644976,0,923216
0.4170497378130974,active_wiretap,47739,1.0,1290470,1,47739,0,0.5886164119886436,1234999,1300000,1234999,1300000,0,0.0,1290470,0.9999984501794692,1.0,0.9407591181617555,0.41704921113473187,1.0,0.9776607280003408,1.5498205307825353e-06,q99,441.3197709199616,2,923216
0.4170578690402622,active_wiretap,47739,1.0,1290452,1,47739,0,0.5886197895746225,1234999,1300000,1234999,1300000,0,0.0,1290452,0.9999845017946922,1.0,0.9407591181617555,0.4170526022872445,1.0,0.9776607280003408,1.5498205307825353e-05,q99_5,453.24697339673037,20,923216
0.41706148291900214,active_wiretap,47739,1.0,1290444,1,47739,0,0.5886212907363887,1234999,1300000,1234999,1300000,0,0.0,1290444,0.999978302512569,1.0,0.9407591181617555,0.41705410948384125,1.0,0.9776607280003408,2.1697487430955494e-05,q99_9,463.8248514295124,28,923216
0.35880082696432064,ssdp_flood,10324,1.0,2572661,1,10324,0,0.5281139367068431,2548441,2613442,2548441,2613442,0,0.0,2572661,1.0,0.25,0.9908719223391035,0.35880082696432064,1.0,0.9971386974199368,0.0,q99,4390.632129860891,0,1439604
0.35880082696432064,ssdp_flood,10324,1.0,2572661,1,10324,0,0.5281139367068431,2548441,2613442,2548441,2613442,0,0.0,2572661,1.0,0.25,0.9908719223391035,0.35880082696432064,1.0,0.9971386974199368,0.0,q99_5,4478.391597048424,0,1439604
0.35880082696432064,ssdp_flood,10324,1.0,2572661,1,10324,0,0.5281139367068431,2548441,2613442,2548441,2613442,0,0.0,2572661,1.0,0.25,0.9908719223391035,0.35880082696432064,1.0,0.9971386974199368,0.0,q99_9,4798.602148781693,0,1439604
0.35880082696432064,ssdp_flood,10324,1.0,2572661,1,10324,0,0.5281139367068431,2548441,2613442,2548441,2613442,0,0.0,2572661,1.0,0.5,0.9908719223391035,0.35880082696432064,1.0,0.9971386974199368,0.0,q99,2645.148028264198,0,1439604
0.35880082696432064,ssdp_flood,10324,1.0,2572661,1,10324,0,0.5281139367068431,2548441,2613442,2548441,2613442,0,0.0,2572661,1.0,0.5,0.9908719223391035,0.35880082696432064,1.0,0.9971386974199368,0.0,q99_5,2720.4087454517303,0,1439604
0.35880082696432064,ssdp_flood,10324,1.0,2572661,1,10324,0,0.5281139367068431,2548441,2613442,2548441,2613442,0,0.0,2572661,1.0,0.5,0.9908719223391035,0.35880082696432064,1.0,0.9971386974199368,0.0,q99_9,3030.6202971849966,0,1439604
0.35880082696432064,ssdp_flood,10324,1.0,2572661,1,10324,0,0.5281139367068431,2548441,2613442,2548441,2613442,0,0.0,2572661,1.0,1.0,0.9908719223391035,0.35880082696432064,1.0,0.9971386974199368,0.0,q99,857.4520634792826,0,1439604
0.35880082696432064,ssdp_flood,10324,1.0,2572661,1,10324,0,0.5281139367068431,2548441,2613442,2548441,2613442,0,0.0,2572661,1.0,1.0,0.9908719223391035,0.35880082696432064,1.0,0.9971386974199368,0.0,q99_5,908.5172265340425,0,1439604
0.35880082696432064,ssdp_flood,10324,1.0,2572661,1,10324,0,0.5281139367068431,2548441,2613442,2548441,2613442,0,0.0,2572661,1.0,1.0,0.9908719223391035,0.35880082696432064,1.0,0.9971386974199368,0.0,q99_9,1197.980660225658,0,1439604
0.04257663869734984,video_injection,17141,1.0,2304901,1,17141,0,0.08167579651611478,2066049,2131050,2066049,2131050,0,0.0,2304901,1.0,0.25,0.29168369125073096,0.04257663869734984,1.0,0.9455462296420953,0.0,q99,2108.468683889436,0,102499
0.04257663869734984,video_injection,17141,1.0,2304901,1,17141,0,0.08167579651611478,2066049,2131050,2066049,2131050,0,0.0,2304901,1.0,0.25,0.29168369125073096,0.04257663869734984,1.0,0.9455462296420953,0.0,q99_5,2165.453290518995,0,102499
0.04257663869734984,video_injection,17141,1.0,2304901,1,17141,0,0.08167579651611478,2066049,2131050,2066049,2131050,0,0.0,2304901,1.0,0.25,0.29168369125073096,0.04257663869734984,1.0,0.9455462296420953,0.0,q99_9,2212.712485311703,0,102499
0.04257663869734984,video_injection,17141,1.0,2304901,1,17141,0,0.08167579651611478,2066049,2131050,2066049,2131050,0,0.0,2304901,1.0,0.5,0.29168369125073096,0.04257663869734984,1.0,0.9455462296420953,0.0,q99,1246.467852686396,0,102499
0.04257663869734984,video_injection,17141,1.0,2304901,1,17141,0,0.08167579651611478,2066049,2131050,2066049,2131050,0,0.0,2304901,1.0,0.5,0.29168369125073096,0.04257663869734984,1.0,0.9455462296420953,0.0,q99_5,1290.9537093159552,0,102499
0.04257663869734984,video_injection,17141,1.0,2304901,1,17141,0,0.08167579651611478,2066049,2131050,2066049,2131050,0,0.0,2304901,1.0,0.5,0.29168369125073096,0.04257663869734984,1.0,0.9455462296420953,0.0,q99_9,1328.2139041086618,0,102499
0.04257663869734984,video_injection,17141,1.0,2304901,1,17141,0,0.08167579651611478,2066049,2131050,2066049,2131050,0,0.0,2304901,1.0,1.0,0.29168369125073096,0.04257663869734984,1.0,0.9455462296420953,0.0,q99,213.76834261143023,0,102499
0.04257663869734984,video_injection,17141,1.0,2304901,1,17141,0,0.08167579651611478,2066049,2131050,2066049,2131050,0,0.0,2304901,1.0,1.0,0.29168369125073096,0.04257663869734984,1.0,0.9455462296420953,0.0,q99_5,233.25669924098952,0,102499
0.04257663869734984,video_injection,17141,1.0,2304901,1,17141,0,0.08167579651611478,2066049,2131050,2066049,2131050,0,0.0,2304901,1.0,1.0,0.29168369125073096,0.04257663869734984,1.0,0.9455462296420953,0.0,q99_9,250.51889403369603,0,102499
